name,city,price,model,kilometer,fuel_type,engine,transmission,brand
Mercedes Benz C Class C180,peshawar,5400000.0,2008,126000,petrol,1800,automatic,mercedes
Lexus CT200h F Sport,swabi,5380000.0,2014,200000,hybrid,1800,automatic,lexus
Honda Vezel Hybrid Z Honda Sensing,peshawar,5800000.0,2016,138000,hybrid,1500,automatic,honda
Toyota Land Cruiser 6th (J100) Generation VX Limited 4.7,peshawar,7200000.0,2000,198000,petrol,4700,automatic,toyota
Honda Civic 11th Generation RS,peshawar,9050000.0,2023,40000,petrol,1500,automatic,honda
Toyota Corolla Axio G,peshawar,3500000.0,2007,120000,petrol,1500,automatic,toyota
Toyota Hilux Revo Rocco,peshawar,138000.0,2022,66000,diesel,2800,automatic,toyota
Daihatsu Rocky G,peshawar,6050000.0,2020,50000,petrol,1000,automatic,daihatsu
Haval H6 PHEV,peshawar,140000.0,2025,4000,hybrid,1500,automatic,haval
Toyota Surf SSR-X 2.7,mardan,5700000.0,2006,245000,petrol,2700,automatic,toyota
Toyota Corolla Cross Hybrid Z,peshawar,120000.0,2021,40000,hybrid,1800,automatic,toyota
Honda City i-DSI Vario,peshawar,2050000.0,2006,160000,petrol,1300,automatic,honda
Toyota Corolla XLi VVTi,peshawar,1920000.0,2008,156000,petrol,1300,manual,toyota
Toyota Hilux Vigo Champ G,abbottabad,5250000.0,2012,180000,diesel,2500,automatic,toyota
Suzuki Khyber GA,mardan,450000.0,1997,200000,petrol,1000,manual,suzuki
Toyota Vitz,peshawar,3000000.0,2012,85000,petrol,1000,automatic,toyota
Toyota Corolla Fielder Hybrid,kohat,3900000.0,2013,1230,hybrid,1500,automatic,toyota
Toyota Corolla XE,mardan,1450000.0,1997,433338,petrol,1600,manual,toyota
Suzuki Mehran VXR,abbottabad,475000.0,1998,1000,petrol,800,manual,suzuki
Toyota Corolla Assista X Package 1.5,peshawar,2920000.0,2001,272000,petrol,1496,automatic,toyota
Suzuki Alto VXR,peshawar,2750000.0,2024,82000,petrol,660,manual,suzuki
Toyota Corolla GLi 1.3 VVTi Special Edition,peshawar,4300000.0,2018,200000,petrol,1300,manual,toyota
Suzuki Alto VXL AGS,peshawar,3040000.0,2023,20000,petrol,660,automatic,suzuki
Nissan Clipper DX,mardan,1550000.0,2017,122223,petrol,660,automatic,nissan
Toyota Vitz B Intelligent Package 1.0,bannu,2300000.0,2007,126000,petrol,1000,automatic,toyota
Honda Civic Oriel 1.8 i-VTEC CVT,dargai,4400000.0,2017,200000,petrol,1800,automatic,honda
Suzuki Wagon R Hybrid FX,peshawar,3975000.0,2022,80000,hybrid,660,automatic,suzuki
Toyota Corolla SE Limited,peshawar,1650000.0,1993,258000,petrol,1500,automatic,toyota
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,6730000.0,2020,23000,petrol,1800,automatic,honda
Daihatsu Cuore,peshawar,1000000.0,2007,100000,cng,1600,manual,daihatsu
Toyota Corolla GLi 1.3 VVTi,peshawar,2470000.0,2010,199999,petrol,1300,manual,toyota
Toyota Corolla 9th (E120) Generation SE Saloon Automatic,mardan,1950000.0,2002,200000,petrol,1600,automatic,toyota
Toyota Raize Z,peshawar,6300000.0,2020,69000,petrol,1000,automatic,toyota
Suzuki Mehran VX,mansehra,1150000.0,2011,80000,petrol,800,manual,suzuki
Toyota Corolla Altis Automatic 1.6,dera ismail khan,4500000.0,2016,75000,petrol,1600,automatic,toyota
BAIC BJ40 Plus Honorable Edition,peshawar,7000000.0,2022,104000,petrol,2000,automatic,baic
Toyota Prado TZ 4.0,peshawar,168000.0,2011,165000,petrol,4000,automatic,toyota
Toyota Hilux Double Cab,peshawar,4000000.0,2003,150000,diesel,3000,manual,toyota
Changan Oshan X7 FutureSense,peshawar,7950000.0,2023,26000,petrol,1500,automatic,changan
Toyota Raize G,peshawar,5780000.0,2020,31000,petrol,1000,automatic,toyota
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,5550000.0,2018,95000,petrol,1800,automatic,honda
Toyota Corolla X HID 40th Anniversary Limited 1.5,peshawar,5200000.0,2006,110000,petrol,1500,automatic,toyota
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,peshawar,7350000.0,2023,43000,petrol,1800,automatic,toyota
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,peshawar,7400000.0,2024,44000,petrol,1800,automatic,toyota
Toyota Hilux Vigo Champ G,haripur,5995000.0,2014,180000,diesel,2500,automatic,toyota
Toyota Noah G,peshawar,6150000.0,2015,125000,hybrid,1800,automatic,toyota
Toyota Hilux Invincible,peshawar,6800000.0,2012,82000,diesel,3000,automatic,toyota
Toyota Prado 2nd (J90) Generation TZ 3.0D,abbottabad,3950000.0,1996,200000,diesel,3000,automatic,toyota
Honda City 5th (GM2) Generation Aspire 1.3 i-VTEC,peshawar,3100000.0,2012,100000,petrol,1300,manual,honda
Honda Civic Oriel 1.8 i-VTEC CVT,haripur,5950000.0,2020,100000,petrol,1800,automatic,honda
Honda Civic Oriel 1.8 i-VTEC CVT,mardan,5275000.0,2018,110000,petrol,1800,automatic,honda
Suzuki Mehran VX,swabi,850000.0,2010,80000,petrol,800,manual,suzuki
Toyota Sienta X,abbottabad,5500000.0,2015,160000,hybrid,1500,automatic,toyota
Suzuki Alto VX (CNG),charsadda,850000.0,2007,50000,cng,1000,manual,suzuki
Toyota Raize G,peshawar,5650000.0,2020,40000,petrol,1000,automatic,toyota
Toyota Corolla 8th (E110) Generation SE Limited,peshawar,1100000.0,1997,220000,petrol,1500,manual,toyota
Suzuki Vitara GLX 1.6,mansehra,4480000.0,2017,105000,petrol,1600,automatic,suzuki
Toyota Platz F 1.0,mardan,2000000.0,2003,299999,petrol,1000,automatic,toyota
Suzuki Swift DLX 1.3 Navigation,mansehra,3200000.0,2019,89658,petrol,1300,manual,suzuki
Toyota Corolla GLi 1.3 VVTi,peshawar,4250000.0,2017,128000,petrol,1300,manual,toyota
Daihatsu Cuore,mansehra,750000.0,2000,200000,petrol,800,automatic,daihatsu
Suzuki Cultus EURO II,abbottabad,1380000.0,2013,100000,petrol,1000,manual,suzuki
Toyota Corolla 8th (E110) Generation XE,haripur,1700000.0,1998,35,petrol,1300,manual,toyota
Toyota Corolla GLi 1.3 VVTi,peshawar,2700000.0,2010,120000,petrol,1300,manual,toyota
Suzuki Mehran VXR,mardan,850000.0,2009,100000,petrol,800,manual,suzuki
KIA Sportage 2.0 LX 4x4,nowshera,1348000.0,2003,123450,petrol,2000,manual,kia
Suzuki Alto,nowshera,819999.9999999999,2008,200000,cng,1000,manual,suzuki
Toyota Corolla GLi 1.3 VVTi,peshawar,2400000.0,2010,210000,petrol,1300,manual,toyota
Suzuki Mehran VX,peshawar,900000.0,2009,74000,petrol,800,manual,suzuki
Suzuki Alto VXR (CNG),peshawar,850000.0,2007,245213,petrol,1000,manual,suzuki
Daewoo Racer Base Grade 1.5,nowshera,850000.0,1993,83000,petrol,1500,manual,daewoo
MG HS,peshawar,6600000.0,2022,70000,petrol,1500,automatic,mg
Daihatsu Rocky G,peshawar,5450000.0,2020,84000,petrol,1000,automatic,daihatsu
Honda Vezel e-HEV Play,peshawar,110000.00000000001,2021,70000,hybrid,1500,automatic,honda
Toyota Fortuner 2.7 VVTi,peshawar,112999.99999999999,2017,56000,petrol,2700,automatic,toyota
Toyota Prado TZ G 4.0,peshawar,195000.0,2011,114000,petrol,4000,automatic,toyota
Honda Civic 1.5 RS Turbo,peshawar,7000000.0,2020,50000,petrol,1500,automatic,honda
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,6100000.0,2020,70000,petrol,1800,automatic,honda
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,charsadda,8050000.0,2025,190,petrol,1800,automatic,toyota
Toyota Corolla Cross Hybrid Z,peshawar,135000.0,2021,51200,hybrid,1800,automatic,toyota
Toyota Prado TX 3.0D,peshawar,165000.0,2014,111000,diesel,3000,manual,toyota
Toyota Hilux Revo V Automatic 2.8,peshawar,103000.0,2019,81000,diesel,2800,automatic,toyota
Toyota Land Cruiser,qalandarabad,9800000.0,1998,100000,diesel,4600,automatic,toyota
Suzuki Wagon R Hybrid ZX,mardan,3720000.0000000005,2022,85000,hybrid,660,automatic,suzuki
Suzuki Cultus VXL,peshawar,3568000.0,2021,66000,petrol,1000,manual,suzuki
Honda Civic 5th Generation EX,peshawar,790000.0,1995,144000,petrol,1500,manual,honda
Suzuki Cultus VXL,peshawar,3650000.0,2021,66000,petrol,1000,manual,suzuki
Mercedes Benz E Class E 200 Kompressor Elegance,peshawar,6200000.0,2008,140000,petrol,1800,automatic,mercedes
Suzuki Bolan VX,abbottabad,1350000.0,2012,2580,cng,800,manual,suzuki
Toyota Aqua G,peshawar,5950000.0,2019,96000,hybrid,1500,automatic,toyota
Toyota Allex,karak,6250000.0,2021,63000,petrol,1111,automatic,toyota
Toyota Corolla,swatmingora,1800000.0,1995,200000,petrol,1500,manual,toyota
Suzuki Cultus EURO II,akora khattak,1830000.0,2015,290091,petrol,1000,manual,suzuki
Daihatsu Mira L SA,peshawar,2740000.0,2016,100000,petrol,660,automatic,daihatsu
Toyota Prado 3rd (J120) Generation TZ 3.4,abbottabad,9300000.0,2002,150000,petrol,3400,automatic,toyota
Suzuki Alto,peshawar,3200000.0,2018,100000,petrol,660,automatic,suzuki
Toyota Hiace GL,abbottabad,3500000.0,1995,100000,petrol,2400,manual,toyota
Suzuki Alto VXR,mansehra,1480000.0,2008,100000,petrol,1000,manual,suzuki
Suzuki Alto VXR (CNG),peshawar,994999.9999999999,2007,140000,cng,1000,manual,suzuki
Toyota Fortuner 2.8 Sigma 4,mansehra,138000.0,2018,78000,diesel,2800,automatic,toyota
Suzuki FX,peshawar,290000.0,1985,13000,cng,1000,manual,suzuki
Suzuki Ravi Euro II,mansehra,1490000.0,2016,68000,petrol,800,manual,suzuki
Toyota Corolla X 1.5,peshawar,3200000.0,2006,169000,petrol,1500,automatic,toyota
Suzuki Margalla GL Plus,abbottabad,720000.0,1998,145000,petrol,1300,manual,suzuki
Suzuki Alto VXL AGS,abbottabad,2590000.0,2020,105000,petrol,660,automatic,suzuki
Suzuki Alto L,mardan,3295000.0000000005,2020,68500,petrol,660,automatic,suzuki
Haval H6 HEV,swabi,118000.0,2025,16000,hybrid,1500,automatic,haval
Toyota Corolla GLi Automatic 1.3 VVTi,topi,4800000.0,2020,69000,petrol,1300,automatic,toyota
Toyota Hilux Revo V Automatic 2.8,peshawar,122000.0,2021,50000,diesel,2800,automatic,toyota
Honda Civic RS,peshawar,9250000.0,2024,42000,petrol,1500,automatic,honda
Toyota Raize Z,abbottabad,6050000.0,2020,45000,petrol,1000,automatic,toyota
Toyota MR2 Spyder,peshawar,6000000.0,2000,115000,petrol,1800,manual,toyota
Toyota Fortuner 2.8 Sigma 4,peshawar,154000.0,2021,79000,diesel,2800,automatic,toyota
Suzuki Alto Hybrid X,peshawar,4050000.0,2022,125000,hybrid,660,automatic,suzuki
Toyota Raize Z,peshawar,6250000.0,2020,57000,petrol,1000,automatic,toyota
Daihatsu Rocky G,peshawar,6050000.0,2020,89500,petrol,1000,automatic,daihatsu
Toyota Hilux Revo Rocco,peshawar,140000.0,2022,50000,diesel,2800,automatic,toyota
Hyundai Santa Fe Signature,abbottabad,139000.0,2024,35000,hybrid,1600,automatic,hyundai
Suzuki Mehran VXR,peshawar,900000.0,2009,1000,petrol,800,manual,suzuki
Suzuki Mehran VX (CNG),peshawar,877999.9999999999,2010,185000,petrol,800,manual,suzuki
Toyota Corolla XLi VVTi,peshawar,2450000.0,2010,123450,petrol,1300,manual,toyota
Suzuki Bolan VX Euro II,peshawar,1490000.0,2019,100000,petrol,800,manual,suzuki
Suzuki FX GA,peshawar,400000.0,1987,189000,petrol,800,manual,suzuki
Toyota Prado TX L Package 2.7,mansehra,183000.0,2013,174000,petrol,2700,automatic,toyota
Honda Civic,peshawar,2500000.0,2009,189234,petrol,1800,automatic,honda
Suzuki Alto L,peshawar,3470000.0000000005,2020,54000,petrol,660,automatic,suzuki
Suzuki Margalla,haripur,380000.0,1990,123456,petrol,1300,manual,suzuki
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,5800000.0,2019,72000,petrol,1800,automatic,honda
Toyota Aqua G,swatmingora,4200000.0,2015,164530,hybrid,1500,automatic,toyota
Toyota Vitz F 1.0,peshawar,2150000.0,2007,100,petrol,1000,automatic,toyota
Suzuki Mehran VXR Euro II,swabi,1125000.0,2016,31577,petrol,800,manual,suzuki
Suzuki Mehran VX (CNG),peshawar,440000.00000000006,1996,10000,petrol,800,manual,suzuki
Honda Civic,mardan,2000000.0,2003,300000,petrol,1600,automatic,honda
Toyota Corolla Altis Automatic 1.6,peshawar,4050000.0,2015,130000,petrol,1600,automatic,toyota
Suzuki Alto VXR (CNG),mardan,1150000.0,2008,200000,cng,1000,manual,suzuki
Suzuki Cultus VXR,peshawar,869999.9999999999,2006,123456,petrol,1000,manual,suzuki
Daihatsu Charade,peshawar,600000.0,1992,94564,cng,1000,manual,daihatsu
Toyota Passo X G Package,mardan,3150000.0,2015,147000,petrol,1000,automatic,toyota
Toyota Corolla 9th (E120) Generation Altis Automatic 1.8,haripur,2400000.0,2005,20000,petrol,1800,automatic,toyota
Honda City i-DSI,peshawar,1650000.0,2005,123456,petrol,1300,manual,honda
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,peshawar,6850000.0,2022,52000,petrol,1800,automatic,toyota
Toyota Prado TX Limited 2.7,peshawar,9575000.0,2009,80000,petrol,2700,automatic,toyota
Toyota Hilux Revo V Automatic 2.8,peshawar,204999.99999999997,2022,55600,diesel,2800,automatic,toyota
Toyota Land Cruiser 6th (J100) Generation Cygnus,peshawar,117000.0,2005,181976,petrol,4700,automatic,toyota
Toyota Fortuner GR-S,peshawar,210000.0,2025,6000,diesel,2800,automatic,toyota
Toyota Hilux Revo GR-S,peshawar,167000.0,2025,16000,diesel,2800,automatic,toyota
Haval H6 PHEV,peshawar,134000.0,2025,2800,hybrid,1500,automatic,haval
Honda HR-V e:HEV,peshawar,8800000.0,2026,20,hybrid,1500,automatic,honda
Toyota Land Cruiser 5th (J80) Generation VX Limited 4.5,abbottabad,6800000.0,1995,135000,petrol,4500,automatic,toyota
Toyota Land Cruiser,abbottabad,6200000.0,1991,140000,diesel,4200,manual,toyota
Toyota Prado 2nd (J90) Generation RZ 3.0D (3-Door),abbottabad,5700000.0,1998,150000,diesel,3000,automatic,toyota
Toyota Prado 2nd (J90) Generation TZ 3.4,abbottabad,7000000.0,2001,72000,petrol,3400,automatic,toyota
Hyundai Santa Fe Signature,peshawar,129000.0,2024,45000,hybrid,1600,automatic,hyundai
Suzuki Swift GLX CVT,peshawar,4280000.0,2022,21000,petrol,1200,automatic,suzuki
Toyota Corolla,bannu,3500000.0,2007,168000,petrol,1500,automatic,toyota
Toyota Corolla XLi VVTi,peshawar,3600000.0,2017,286125,petrol,1300,manual,toyota
Suzuki Mehran VX Euro II,swabi,1100000.0,2013,96160,petrol,800,manual,suzuki
Changan Karvaan Plus,dera ismail khan,2100000.0,2021,1000,petrol,1000,manual,changan
Toyota Vitz,abbottabad,3700000.0,2015,12000,petrol,1000,automatic,toyota
Toyota Prius S 1.8,nowshera,3720000.0000000005,2010,85000,hybrid,1800,automatic,toyota
Suzuki Mehran VX,nowshera,800000.0,2007,80000,petrol,800,manual,suzuki
Toyota Aqua L,abbottabad,3700000.0,2014,127000,hybrid,1500,automatic,toyota
Suzuki Margalla GL,haripur,635000.0,1996,100020,petrol,1300,manual,suzuki
Toyota Corolla 9th (E120) Generation Altis 1.8,mardan,1280000.0,2003,185000,petrol,1800,manual,toyota
Hyundai Excel Basegrade,peshawar,730000.0,1993,99999,petrol,1500,manual,hyundai
Toyota Premio X EX 1.8,mansehra,3600000.0,2005,145000,petrol,1800,automatic,toyota
Suzuki Cultus VXR,bannu,1060000.0,2007,5000,petrol,1000,manual,suzuki
Suzuki Mehran,mardan,1650000.0,2019,80190,petrol,800,manual,suzuki
Honda Civic Oriel 1.8 i-VTEC CVT,peshawar,4900000.0,2016,180000,petrol,1800,automatic,honda
Suzuki Cultus VXR,abbottabad,2800000.0,2018,103000,petrol,1000,manual,suzuki
Toyota Corolla GLi Automatic 1.6 VVTi,peshawar,3279999.9999999995,2013,134000,petrol,1600,automatic,toyota
Honda Civic VTi Oriel 1.6,haripur,1700000.0,2004,200000,petrol,1600,manual,honda
Toyota Corolla,peshawar,2950000.0,2007,160000,petrol,1300,automatic,toyota
Toyota Corolla Altis SR Cruisetronic 1.8,peshawar,3250000.0,2011,185000,petrol,1800,automatic,toyota
Honda City i-DSI Vario,nowshera cantt,2500000.0,2005,105000,petrol,1300,automatic,honda
Toyota Raize Z,nowshera cantt,6200000.0,2020,27900,petrol,1000,automatic,toyota
Honda Vezel Hybrid RS Honda Sensing,peshawar,6550000.0,2017,157000,hybrid,1500,automatic,honda
Land Rover Discovery HSE Luxury,swat,105000.0,2006,248000,diesel,2700,automatic,land
Mercedes Benz C Class C180,peshawar,3300000.0,2006,145000,petrol,2000,automatic,mercedes
Toyota Raize Z,bat khela,6450000.0,2021,25000,petrol,1000,automatic,toyota
Daihatsu Tanto,mardan,3250000.0,2022,38000,petrol,660,automatic,daihatsu
Toyota Hilux Revo V Automatic 3.0,peshawar,9200000.0,2017,90000,diesel,3000,automatic,toyota
Honda Civic 11th Generation RS,charsadda,8650000.0,2023,62500,petrol,1500,automatic,honda
Toyota Corolla Cross 1.8 HEV,abbottabad,9300000.0,2026,20,hybrid,1800,automatic,toyota
Toyota Raize XS,peshawar,5200000.0,2021,122000,petrol,1000,automatic,toyota
Honda Vezel Hybrid RS Honda Sensing,peshawar,8050000.0,2019,67000,hybrid,1500,automatic,honda
Toyota Premio X 1.8,peshawar,6150000.0,2012,180000,petrol,1800,automatic,toyota
Honda City 5th (GM2) Generation Aspire Prosmatec 1.3 i-VTEC,peshawar,3650000.0,2015,160780,petrol,1300,automatic,honda
Suzuki Cultus Limited Edition,abbottabad,1950000.0,2015,138000,petrol,1000,manual,suzuki
Suzuki Alto ECO-L,abbottabad,2490000.0,2011,180000,petrol,660,automatic,suzuki
Suzuki Mehran VX Euro II,peshawar,1480000.0,2018,80000,petrol,800,manual,suzuki
Suzuki Alto,charsadda,1450000.0,2012,10500,petrol,660,manual,suzuki
Suzuki Mehran VX (CNG),mardan,495000.0,1990,123555,petrol,800,manual,suzuki
Toyota Corolla GLi 1.3 VVTi,peshawar,3300000.0,2010,140000,petrol,1300,manual,toyota
Toyota Belta G 1.3,abbottabad,2470000.0,2006,13321,petrol,1300,automatic,toyota
Suzuki FX GA,mardan,235000.0,1987,123454,petrol,800,manual,suzuki
Suzuki Cultus VX (CNG),mansehra,880000.0000000001,2005,200000,petrol,1000,manual,suzuki
Toyota Corolla SE Limited,bannu,2050000.0,1994,20,petrol,1500,automatic,toyota
Toyota Corolla SE Limited,charsadda,1660000.0000000002,1995,50000,petrol,1500,automatic,toyota
Toyota Hilux D-4D Automatic,mardan,6600000.0,2009,180000,diesel,3000,automatic,toyota
Suzuki Alto VXR,mardan,1300000.0,2007,12000,cng,1000,manual,suzuki
Suzuki Khyber GA,mardan,680000.0,1992,12448,petrol,1000,manual,suzuki
Suzuki Alto,mardan,2000000.0,2012,162000,petrol,660,automatic,suzuki
Toyota Corolla GLi Automatic 1.6 VVTi,peshawar,3050000.0,2011,139000,petrol,1600,automatic,toyota
Honda Civic 11th Generation RS,mardan,9150000.0,2024,40000,petrol,1500,automatic,honda
Honda Civic 6th Generation VTi 1.6,mardan,1250000.0,1997,126000,petrol,1600,manual,honda
Toyota Land Cruiser 6th (J100) Generation VX Limited 4.2D,abbottabad,7900000.0,1998,225000,diesel,4200,automatic,toyota
Daihatsu Rocky Premium,mardan,5700000.0,2021,64000,petrol,1000,automatic,daihatsu
Honda Insight EX,peshawar,8850000.0,2019,46000,hybrid,1500,automatic,honda
Toyota Hilux Vigo Champ TRD Sportivo,abbottabad,7500000.0,2016,170000,diesel,2500,automatic,toyota
Toyota Rush G Limited,abbottabad,3279999.9999999995,2014,145000,petrol,1500,automatic,toyota
Toyota Yaris Cross Hybrid Z,peshawar,,2020,45000,hybrid,1500,automatic,toyota
Toyota Camry XV50 Hybrid,peshawar,9700000.0,2015,95000,hybrid,2500,automatic,toyota
Honda Civic 11th Generation RS,peshawar,9660000.0,2025,22000,petrol,1500,automatic,honda
Toyota Raize Z,peshawar,5490000.0,2020,54000,petrol,1000,automatic,toyota
Toyota Hilux Revo GR-S,abbottabad,174000.0,2026,20,diesel,2800,automatic,toyota
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,abbottabad,8000000.0,2026,20,petrol,1800,automatic,toyota
Honda Civic 5th Generation EX,nowshera cantt,800000.0,1995,22,petrol,1500,manual,honda
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,swat,6000000.0,2022,82000,petrol,1800,automatic,toyota
Suzuki Bolan VX,abbottabad,1200000.0,2010,135000,petrol,800,manual,suzuki
Suzuki Mehran VXR Euro II,mansehra,1500000.0,2018,33000,petrol,796,manual,suzuki
Toyota Corolla GL,nowshera,1250000.0,1998,250000,petrol,1300,manual,toyota
Suzuki Cultus EURO II,swabi,1500000.0,2014,48448,petrol,1000,manual,suzuki
Suzuki Mehran VXR Euro II,abbottabad,1230000.0,2014,29000,petrol,800,manual,suzuki
Suzuki Alto VXR,mardan,1120000.0,2010,120000,petrol,1000,manual,suzuki
Mitsubishi Pajero,peshawar,2000000.0,1986,500000,diesel,2400,automatic,mitsubishi
Suzuki Mehran VXR Euro II,kohat,1350000.0,2015,69000,petrol,796,manual,suzuki
Daihatsu Mira L SA III,abbottabad,3300000.0,2020,78000,petrol,660,automatic,daihatsu
Suzuki Mehran VXR Euro II,swabi,1100000.0,2014,200000,petrol,800,manual,suzuki
Toyota Corolla GLi 1.3 VVTi,abbottabad,3350000.0,2014,95000,petrol,1300,manual,toyota
Suzuki Alto G,swabi,1820000.0,2008,148000,petrol,660,automatic,suzuki
Suzuki Mehran VXR Euro II,mansehra,1500000.0,2015,55000,petrol,800,manual,suzuki
Honda Civic,abbottabad,480000.0,1984,10000,cng,1300,manual,honda
Suzuki Mehran VX,peshawar,320000.0,1992,10000,petrol,800,manual,suzuki
Toyota Vitz F 1.0,nowshera cantt,3500000.0,2014,80000,petrol,1000,automatic,toyota
Mercedes Benz E Class,peshawar,3000000.0,1998,111000,petrol,2400,automatic,mercedes
Honda Vezel e-HEV Z,peshawar,124000.0,2021,20000,hybrid,1500,automatic,honda
Toyota Prius PHV GR Sport,peshawar,114999.99999999999,2020,34000,hybrid,1800,automatic,toyota
Toyota Land Cruiser ZX,peshawar,355000.0,2015,65000,petrol,4600,automatic,toyota
Toyota Surf SSR-X 2.7,peshawar,8100000.0,2003,82000,petrol,2700,automatic,toyota
Toyota Prado TZ G 4.0,peshawar,114999.99999999999,2008,120000,petrol,4000,automatic,toyota
Toyota Land Cruiser ZX,peshawar,575000.0,2021,12000,petrol,4600,automatic,toyota
Nissan Note Aura Nismo Limited Sports Edition,peshawar,8800000.0,2021,10920,hybrid,1200,automatic,nissan
Toyota C-HR S-GR Package,peshawar,109000.00000000001,2020,58000,hybrid,1800,automatic,toyota
Toyota Prado TX 2.7,buner,300000.0,2018,60000,petrol,2700,automatic,toyota
MG HS PHEV,peshawar,9300000.0,2025,10000,hybrid,1500,automatic,mg
Honda Civic RS,peshawar,9400000.0,2024,20480,petrol,1500,automatic,honda
Suzuki Cultus VXR,peshawar,990000.0,2005,105000,petrol,1000,manual,suzuki
Daihatsu Taft X Turbo,nowshera,3650000.0,2025,2,petrol,660,automatic,daihatsu
Suzuki Wagon R Hybrid FX,abbottabad,3900000.0,2023,10000,petrol,660,automatic,suzuki
Daihatsu Cuore CX Eco,peshawar,940000.0,2009,96000,petrol,800,manual,daihatsu
Mitsubishi Pajero Mini,abbottabad,2250000.0,2012,93000,petrol,660,automatic,mitsubishi
Toyota Corolla 9th (E120) Generation Altis 1.8,kohat,2600000.0,2007,219000,petrol,1800,manual,toyota
Suzuki Mehran VXR,peshawar,680000.0,2003,150000,petrol,800,manual,suzuki
Toyota 86,kohat,600000.0,1986,135000,petrol,1300,manual,toyota
DFSK Glory 580 Pro,peshawar,5050000.0,2022,38000,petrol,1500,automatic,dfsk
Suzuki Mehran VX,nowshera,490000.00000000006,1991,586588,petrol,800,manual,suzuki
Suzuki Cultus VXRi,peshawar,1700000.0,2014,73000,petrol,1000,manual,suzuki
Toyota Corolla 8th (E110) Generation XE,mansehra,1400000.0,1995,200000,petrol,1300,manual,toyota
Toyota Corolla GLi 1.6,peshawar,1180000.0,1999,100000,petrol,1600,automatic,toyota
Toyota Rush G A/T,abbottabad,3500000.0,2010,134000,petrol,1500,manual,toyota
Toyota Corolla XLi VVTi,swabi,2610000.0,2012,230000,petrol,1300,manual,toyota
Toyota Corolla DX,peshawar,950000.0,1986,999,petrol,1300,manual,toyota
Honda City 1.3 i-VTEC Prosmatec,peshawar,3900000.0,2019,73000,petrol,1300,automatic,honda
Suzuki Mehran VXR,abbottabad,760000.0,2004,100000,petrol,800,manual,suzuki
Toyota Corolla XLi VVTi,swabi,3400000.0,2014,150,petrol,1300,manual,toyota
Suzuki Mehran VXR Euro II,mansehra,1600000.0,2018,10000,petrol,796,manual,suzuki
Honda Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,swabi,2850000.0,2010,184000,petrol,1800,automatic,honda
Toyota Vitz F 1.0,peshawar,2950000.0,2013,100000,petrol,1000,automatic,toyota
United Bravo Base Grade,bannu,900000.0,2019,127445,petrol,800,manual,united
Suzuki Swift GLX CVT,peshawar,5050000.0,2026,100,petrol,1200,automatic,suzuki
KIA Sorento 2.4 FWD,peshawar,9000000.0,2024,6000,petrol,2400,automatic,kia
Honda Insight EX,peshawar,9700000.0,2019,78000,hybrid,1500,automatic,honda
Nissan X Trail 2.0S,bat khela,5900000.0,2008,126000,petrol,2000,automatic,nissan
Honda Insight EX,peshawar,9600000.0,2020,42000,hybrid,1500,automatic,honda
Mercedes Benz EQC 400 4MATIC,peshawar,179000.0,2020,74000,electric,800,automatic,mercedes
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,peshawar,2450000.0,2009,150000,petrol,1800,automatic,honda
Toyota Corolla Altis SR Cruisetronic 1.8,swabi,3050000.0,2010,199999,petrol,1800,automatic,toyota
Suzuki Jimny JLDX,malakand agency,3000000.0,2007,240000,petrol,1300,automatic,suzuki
Suzuki Mehran VX,mansehra,560000.0,2004,959839,petrol,800,manual,suzuki
Suzuki Alto VXR,mardan,1015000.0,2007,12500,cng,1000,manual,suzuki
Suzuki Cultus EURO II,peshawar,1700000.0,2014,73000,petrol,1000,manual,suzuki
Toyota Corolla XLi VVTi,peshawar,2985000.0,2012,161000,petrol,1300,manual,toyota
Suzuki Mehran VX (CNG),mansehra,1380000.0,2012,54000,cng,800,manual,suzuki
Toyota Vitz F 1.3,swat,2290000.0,2007,162000,petrol,1300,automatic,toyota
Toyota Corolla GLi Automatic Limited Edition 1.6 VVTi,peshawar,3490000.0,2012,120000,petrol,1600,automatic,toyota
Suzuki Alto VXR,peshawar,2850000.0,2024,27000,petrol,660,manual,suzuki
Toyota Corolla XLi,abbottabad,2050000.0,2004,125555,petrol,1300,manual,toyota
Suzuki Alto VX (CNG),abbottabad,1035000.0,2012,75000,cng,1000,manual,suzuki
Suzuki Liana LXi Sport,abbottabad,1400000.0,2006,130575,petrol,1300,manual,suzuki
Toyota Corolla,jehangira,1120000.0,2001,325000,petrol,1600,manual,toyota
KIA Sportage AWD,peshawar,7480000.0,2021,59000,petrol,2000,automatic,kia
Toyota Vitz,peshawar,2300000.0,2008,160,petrol,1000,automatic,toyota
